sector,ema_window,threshold,trades,win_rate,avg_profit,median_profit
EDA & Design Software,60,0.0025,135,0.5111111111111111,0.013417694298243322,0.009890522498326337
EDA & Design Software,60,0.005,244,0.5286885245901639,0.01700209073034344,0.012556453636373033
EDA & Design Software,60,0.01,362,0.5220994475138122,0.013971652261714507,0.006724530174217813
EDA & Design Software,60,0.02,429,0.5128205128205128,0.014719387491136876,0.005656902266670594
EDA & Design Software,120,0.0,5,0.2,-0.02926469372032836,-0.036299603411013126
EDA & Design Software,120,0.0025,93,0.5483870967741935,0.020359686323845376,0.02736181426546702
EDA & Design Software,120,0.005,154,0.5,0.007474748945649411,0.002468012387880414
EDA & Design Software,120,0.01,250,0.508,0.007412594887264234,0.005615916372158747
EDA & Design Software,120,0.02,299,0.5351170568561873,0.010171476275204342,0.01144554709695722
EDA & Design Software,240,0.0,5,0.2,-0.02926469372032836,-0.036299603411013126
EDA & Design Software,240,0.0025,60,0.4,-0.010612173756414826,-0.024288116552535155
EDA & Design Software,240,0.005,103,0.4854368932038835,0.015578509266546355,-0.0039987614764154245
EDA & Design Software,240,0.01,160,0.49375,0.013755832050144598,-0.0016344436331072743
EDA & Design Software,240,0.02,229,0.5109170305676856,0.009883802831763752,0.005656902266670594
Semicap Equipment,5,0.0,4,0.75,0.05030734812808746,0.052293316778310506
Semicap Equipment,5,0.0025,383,0.5744125326370757,0.02993574774795006,0.014252933489340203
Semicap Equipment,5,0.005,674,0.5489614243323442,0.02448568443274362,0.01448925801963541
Semicap Equipment,5,0.01,951,0.5678233438485805,0.02362754186897997,0.016534073202714605
Semicap Equipment,5,0.02,806,0.5893300248138957,0.028144728401874135,0.02736006677521341
Semicap Equipment,10,0.0,4,0.75,0.05030734812808746,0.052293316778310506
Semicap Equipment,10,0.0025,275,0.5527272727272727,0.022325624483194386,0.016733927727313747
Semicap Equipment,10,0.005,459,0.5315904139433552,0.018602863834750478,0.011340822523279614
Semicap Equipment,10,0.01,689,0.548621190130624,0.019229648618815497,0.011989646359838346
Semicap Equipment,10,0.02,771,0.569390402075227,0.024401889318222042,0.018070389417745192
Semicap Equipment,20,0.0,4,0.75,0.05030734812808746,0.052293316778310506
Semicap Equipment,20,0.0025,166,0.5240963855421686,0.020916438761443994,0.00847267587673528
Semicap Equipment,20,0.005,312,0.5512820512820513,0.02691670552532408,0.013469013548514153
Semicap Equipment,20,0.01,474,0.5168776371308017,0.018906267510028538,0.004324824116945902
Semicap Equipment,20,0.02,595,0.5176470588235295,0.018517376378419374,0.003982985400615924
Semicap Equipment,60,0.0,4,0.75,0.05030734812808746,0.052293316778310506
Semicap Equipment,60,0.0025,95,0.5684210526315789,0.02637903323511705,0.01470676010522931
Semicap Equipment,60,0.005,164,0.5304878048780488,0.01713038777376263,0.010534637803507718
Semicap Equipment,60,0.01,258,0.5155038759689923,0.010480903793805497,0.005757248628528
Semicap Equipment,60,0.02,333,0.5345345345345346,0.01188522999114515,0.011896373593381027
Semicap Equipment,120,0.0,4,0.75,0.05030734812808746,0.052293316778310506
Semicap Equipment,120,0.0025,72,0.5694444444444444,0.019540541106269682,0.009977674430955208
Semicap Equipment,120,0.005,126,0.5476190476190477,0.019808094540520352,0.009872831152895611
Semicap Equipment,120,0.01,186,0.5483870967741935,0.015117225000853583,0.008691488617628695
Semicap Equipment,120,0.02,241,0.5020746887966805,0.006682624406664964,0.0009884276208038667
Semicap Equipment,240,0.0,4,0.75,0.05030734812808746,0.052293316778310506
Semicap Equipment,240,0.0025,50,0.58,0.018370788269681537,0.020797072953457563
Semicap Equipment,240,0.005,93,0.5698924731182796,0.01995418296125596,0.016254092678843923
Semicap Equipment,240,0.01,153,0.5294117647058824,0.01550037230405826,0.0076556301206733846
Semicap Equipment,240,0.02,214,0.5280373831775701,0.012695661393014545,0.006845505053596268
Foundry & Manufacturing,5,0.0,3,0.3333333333333333,0.14202666343556766,-0.0329087491619916
Foundry & Manufacturing,5,0.0025,325,0.5169230769230769,0.010599498988899812,0.002673454934882802
